dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/decrease_dataset/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8148336296672594,0.8122067664717203,0.7833898550449231,0.884557597947895,0.4022916442766381,95.85126733779907,21.288706302642822,ok,,31492,25193,0,7874,0.41355572640895844,60,1e-05,True,95.43143582344055,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8096523257659946,0.8117161454199079,0.8096523257659946,0.8117161454199079,12,True,False,,random,none,tabicl_encoded_l2,,,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/decrease_dataset/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.96875,0.9687585479270056,0.9692018909899889,0.9948727753058955,0.09316187402240474,19.486730098724365,1.2873106002807617,ok,,1920,1536,0,480,0.0510835237801075,21,1e-05,True,19.38887310028076,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9609375,0.9765625,0.9609375,0.9765625,13,True,False,,random,none,tabicl_encoded_l2,,,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/decrease_dataset/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9604166666666667,0.9604261207781286,0.9607202447163515,0.9938299499443827,0.10073703034425702,16.826921939849854,1.7041242122650146,ok,,1920,1536,0,480,0.10229495540261269,19,1e-05,True,16.690185070037842,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.953125,0.9583333333333334,0.953125,0.9583333333333334,11,True,False,,random,none,tabicl_encoded_l2,,,,True
Employee,/home/crc00006699/zh/tabiclv2/decrease_dataset/Employee,binclass,3722,745,931,8,2,0.8592910848549946,0.853282037833896,0.8131725654664484,0.8800838788870704,0.35208124576014665,8.599802732467651,1.3742163181304932,ok,,3722,2977,0,931,0.3716204762458801,14,1e-05,True,8.53839373588562,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8523489932885906,0.8550335570469799,0.8523489932885906,0.8550335570469799,6,True,False,,random,none,tabicl_encoded_l2,,,,True
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/decrease_dataset/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7153451226468911,0.7152759524936217,0.7149026456459096,0.7900723165657746,0.5515244806713022,143.88637042045593,26.136847734451294,ok,,35060,28048,0,8765,0.5478753447532654,90,1e-05,True,143.48242473602295,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.7154877353108956,0.7183399885909869,0.7154877353108956,0.7183399885909869,26,False,False,,random,none,tabicl_encoded_l2,,,,True
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/decrease_dataset/Fitness_Club_c,binclass,1200,240,300,6,2,0.7966666666666666,0.792733543259859,0.7423891897576108,0.8215994531784004,0.45711949771622074,12.069170951843262,0.39544248580932617,ok,,1200,960,0,300,0.4592859148979187,19,1e-05,True,12.033620595932007,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7666666666666667,0.7833333333333333,0.7666666666666667,0.7833333333333333,11,True,False,,random,none,tabicl_encoded_l2,,,,True
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/decrease_dataset/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6063157894736843,0.5582989914387374,0.4164317411625387,0.7078250009958135,0.7905212324660047,22.343756437301636,1.9122841358184814,ok,,3796,3036,0,950,0.7846784293651581,22,1e-05,True,22.192625999450684,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6092105263157894,0.6210526315789474,0.6092105263157894,0.6210526315789474,14,True,False,,random,none,tabicl_encoded_l2,,,,True
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/decrease_dataset/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.8001043841336117,0.8030138817628535,0.7486536113279721,0.8093501993605177,0.4312052381474435,41.90573763847351,7.913251638412476,ok,,15326,12260,0,3832,0.45842351019382477,28,1e-05,True,41.62914204597473,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,accuracy,0.8036529680365296,0.8078930202217873,0.8036529680365296,0.8078930202217873,6,True,False,,random,none,tabicl_encoded_l2,,,,True
PhishingWebsites,/home/crc00006699/zh/tabiclv2/decrease_dataset/PhishingWebsites,binclass,8844,1769,2211,30,2,0.9796472184531886,0.9796279672375263,0.9784972396757241,0.9987334007526649,0.045649806001594066,30.318442583084106,5.2904767990112305,ok,,8844,7075,0,2211,0.06671402230858803,12,1e-05,True,29.908417224884033,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9762577727529678,0.9785189372526851,0.9762577727529678,0.9785189372526851,4,True,False,,random,none,tabicl_encoded_l2,,,,True
Water_Quality_and_Potability,/home/crc00006699/zh/tabiclv2/decrease_dataset/Water_Quality_and_Potability,binclass,2620,524,656,8,2,0.6509146341463414,0.5928750262409173,0.5724218750000001,0.6667626953125,0.6241006654152257,13.835759162902832,1.0429108142852783,ok,,2620,2096,0,656,0.6424137949943542,16,1e-05,True,13.753335237503052,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6335877862595419,0.6412213740458015,0.6335877862595419,0.6412213740458015,8,True,False,,random,none,tabicl_encoded_l2,,,,True
