dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.946292340555386,0.9308063520874243,0.5777218975996924,0.8237443517460183,0.17278974412254294,52.80829429626465,5.24570107460022,ok,,26215,20972,0,6554,,90,8.304665368e-06,True,45.26567459106445,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.9485027655922182,0.9492656875834445,,,1,True,False,,random,none,,,,,,True
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data184/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7626439659489234,0.7621692116126496,0.7625651737524901,0.9200045055822077,0.5325864489618597,14.57539987564087,0.9782733917236328,ok,,7987,6389,0,1997,,30,8.304665368e-06,True,14.574963569641113,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7759699624530664,0.7809762202753442,,,4,True,False,,random,none,,,,,,True
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9880619761239523,0.9880713219199546,0.9875652382417506,0.9992026149256164,0.03292686253408813,44.32849049568176,7.329097747802734,ok,,31492,25193,0,7874,,90,8.304665368e-06,True,44.32785224914551,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.9868233052865534,0.9868233052865534,,,0,True,False,,random,none,,,,,,True
BNG(cmc),/home/crc00006699/zh/tabiclv2/data184/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5889692585895118,0.5872757948417349,0.5673438779099943,0.7657784101777168,0.873748681489944,202.46306848526,12.92593264579773,ok,,44236,35388,0,11060,,120,8.304665368e-06,True,202.46255540847778,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,4,tabpfn_finetuning_api_random,acc,0.5774186256781193,0.5821654611211573,,,16,True,False,,random,none,,,,,,True
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8147066294132588,0.8128496570430861,0.7865488859959604,0.8843262870335001,0.40405436360800223,47.977617025375366,7.3495025634765625,ok,,31492,25193,0,7874,,90,8.304665368e-06,True,47.977190256118774,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.8109223686299413,0.8109223686299413,,,0,True,False,,random,none,,,,,,True
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data184/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.877,0.8662531611446974,0.7435200994523028,0.8850545460714953,0.3098702152584755,11.706139087677002,1.107940912246704,ok,,8000,6400,0,2000,,30,8.304665368e-06,True,11.70574402809143,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.870625,0.870625,,,0,True,False,,random,none,,,,,,True
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7052238805970149,0.7023113622054402,0.6788920387432081,0.7357665957949444,0.5798612303087932,7.343507289886475,0.43057703971862793,ok,,1072,857,0,268,,30,8.304665368e-06,True,7.34314489364624,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.772093023255814,0.772093023255814,,,0,True,False,,random,none,,,,,,True
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data184/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9227228682170543,0.9227156161313925,0.9227182727145755,0.9792816826854801,0.1863414695114033,68.58644199371338,2.7081708908081055,ok,,16512,13209,0,4128,,60,8.304665368e-06,True,68.5860116481781,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,2,tabpfn_finetuning_api_random,acc,0.9097789887980624,0.9206781713593702,,,20,True,False,,random,none,,,,,,True
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7347857142857143,0.7342492839616539,0.7347601174726914,0.7998085672844302,0.5433781868244191,302.1942825317383,19.598658323287964,ok,,56000,44800,0,14000,,150,8.304665368e-06,True,302.1937999725342,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,5,tabpfn_finetuning_api_random,acc,0.73375,0.7350892857142857,,,18,True,False,,random,none,,,,,,True
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data184/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8336670838548185,0.7632981498215542,0.5104620196036509,0.6265207724092524,0.4382592309234817,47.567009925842285,7.053237438201904,ok,,31958,25566,0,7990,,90,8.304665368e-06,True,47.56660795211792,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.8335419274092616,0.8336983729662077,,,1,True,False,,random,none,,,,,,True
